company_name,updated_time,company_profile,cgpa,courses,dept_eligible,ctc_btech,base_btech,ctc_idd,base_idd,location,currency,profile,company_profile_list,dept_eligible_list,courses_list,location_list,date_parts,month,date,year,ctc_range,ctc_btech_range,base_btech_range
Nykaa,"Nov. 29, 2024, 10:32 a.m.",SDET (QA Automation),7.5,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",1600000.0,1400000.0,1600000.0,1400000.0,"Gurgaon, Bangalore",INR,Software/Quant Developer,['sdet (qa automation)'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']","['Gurgaon', 'Bangalore']","['Nov', '29', '2024']",Nov,29,2024,10-20 LPA,10-20 LPA,10-20 LPA
Acies Consulting,"Nov. 29, 2024, 6:39 p.m.","Frontend Developer, Full-Stack Developer, Quantitative Developer",7.0,"btech, idd","cse, eee, mec",1200000.0,800000.0,,,Goa,INR,Software/Quant Developer,"['frontend developer', 'full-stack developer', 'quantitative developer']","['cse', 'eee', 'mec']","['btech', 'idd']",['Goa'],"['Nov', '29', '2024']",Nov,29,2024,10-20 LPA,10-20 LPA,< 10 LPA
H P C L,"Nov. 30, 2024, 12:14 p.m.",Officer- Engineering,0.0,btech,che,1741440.0,1501439.0,,,Pan India,INR,Other,['officer- engineering'],['che'],['btech'],['Pan India'],"['Nov', '30', '2024']",Nov,30,2024,10-20 LPA,10-20 LPA,10-20 LPA
Ormae Llp,"Nov. 30, 2024, 12:44 p.m.",OR Scientist I,7.0,"btech, idd","cse, dse, eee, mat, mec",1300000.0,1200000.0,1300000.0,1200000.0,Bangalore,INR,Core_Engineering,['or scientist i'],"['cse', 'dse', 'eee', 'mat', 'mec']","['btech', 'idd']",['Bangalore'],"['Nov', '30', '2024']",Nov,30,2024,10-20 LPA,10-20 LPA,10-20 LPA
26 Miles Capital,"Dec. 3, 2024, 3:46 a.m.",Quant Researcher,8.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",4500000.0,2400000.0,4500000.0,2400000.0,Gurgaon,INR,Software/Quant Developer,['quant researcher'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Gurgaon'],"['Dec', '3', '2024']",Dec,3,2024,> 40 LPA,> 40 LPA,20-30 LPA
Accenture,"Dec. 3, 2024, 3:46 a.m.",MC Delivery Associate,0.0,btech,"cer, che, civ, cse, ece, eee, mec, met, min, phe",1592000.0,1200000.0,,,"Gurgaon, New Delhi, Mumbai, Bangalore, Kolkata, Pune",INR,Other,['mc delivery associate'],"['cer', 'che', 'civ', 'cse', 'ece', 'eee', 'mec', 'met', 'min', 'phe']",['btech'],"['Gurgaon', 'New Delhi', 'Mumbai', 'Bangalore', 'Kolkata', 'Pune']","['Dec', '3', '2024']",Dec,3,2024,10-20 LPA,10-20 LPA,10-20 LPA
Aira Matrix,"Dec. 3, 2024, 3:46 a.m.",Trainee Engineer,0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, dse, ece, eee, mat, mec, met, min, mst, phe, phy",2100000.0,1906020.0,2100000.0,1906020.0,"Thane, Maharashtra",INR,Core_Engineering,['trainee engineer'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'dse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']","['Thane', 'Maharashtra']","['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,10-20 LPA
Applied Material,"Dec. 3, 2024, 3:46 a.m.",Applications Engineer,6.8,idd,"cer, met, mst, phy",,,1885271.0,1581000.0,Bangalore,INR,Other,['applications engineer'],"['cer', 'met', 'mst', 'phy']",['idd'],['Bangalore'],"['Dec', '3', '2024']",Dec,3,2024,,,
Aqr Capital India Services Llp,"Dec. 3, 2024, 3:46 a.m.",Analyst,7.0,"btech, idd","cse, ece, eee, mat",3160600.0,2310000.0,3160600.0,2310000.0,Bangalore,INR,Business/Product Analyst,['analyst'],"['cse', 'ece', 'eee', 'mat']","['btech', 'idd']",['Bangalore'],"['Dec', '3', '2024']",Dec,3,2024,30-40 LPA,30-40 LPA,20-30 LPA
Arista Network,"Dec. 3, 2024, 3:46 a.m.",Software engineer,7.5,"btech, idd","[['btech', 'cse', 'ece', 'eee'], ['idd', 'cse', 'eee', 'mat']]",2611250.0,1800000.0,,,"Bangalore, Pune",INR,Software/Quant Developer,['software engineer'],"[""[['btech'"", ""'cse'"", ""'ece'"", ""'eee']"", ""['idd'"", ""'cse'"", ""'eee'"", ""'mat']]""]","['btech', 'idd']","['Bangalore', 'Pune']","['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,10-20 LPA
Bajaj Auto,"Dec. 3, 2024, 3:46 a.m.",GTE,7.0,"btech, idd","eee, mec",2074000.0,1230000.0,2174000.0,1330000.0,Pune,INR,Core_Engineering,['gte'],"['eee', 'mec']","['btech', 'idd']",['Pune'],"['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,10-20 LPA
Bny Mellon,"Dec. 3, 2024, 3:46 a.m.","Software Developer, Data Scientist",7.5,btech,"cer, che, civ, cse, ece, eee, mec, met, min, phe",2664308.0,1700000.0,,,"Pune, Chennai",INR,Software/Quant Developer,"['software developer', 'data scientist']","['cer', 'che', 'civ', 'cse', 'ece', 'eee', 'mec', 'met', 'min', 'phe']",['btech'],"['Pune', 'Chennai']","['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,10-20 LPA
Browser Stack,"Dec. 3, 2024, 3:46 a.m.",Software Engineer- Backend,8.0,"btech, idd",cse,2700000.0,2035000.0,2700000.0,2035000.0,Mumbai,INR,Software/Quant Developer,['software engineer- backend'],['cse'],"['btech', 'idd']",['Mumbai'],"['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,20-30 LPA
Cars24,"Dec. 3, 2024, 3:46 a.m.",Software Development Engineer,7.5,btech,"cer, che, civ, cse, ece, eee, mec, met, min, phe",2600000.0,2400000.0,,,,INR,Software/Quant Developer,['software development engineer'],"['cer', 'che', 'civ', 'cse', 'ece', 'eee', 'mec', 'met', 'min', 'phe']",['btech'],[],"['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,20-30 LPA
Citi,"Dec. 3, 2024, 3:46 a.m.",Analyst,0.0,idd,"bce, bme, cer, chy, civ, cse, eee, mat, mec, met, min, mst, phe, phy",,,1675000.0,1500000.0,,INR,Business/Product Analyst,['analyst'],"['bce', 'bme', 'cer', 'chy', 'civ', 'cse', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']",['idd'],[],"['Dec', '3', '2024']",Dec,3,2024,,,
Cleartax,"Dec. 3, 2024, 3:46 a.m.",Product Analyst,0.0,"btech, idd","apd, bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1800000.0,1200000.0,1800000.0,1200000.0,Bangalore,INR,Business/Product Analyst,['product analyst'],"['apd', 'bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Bangalore'],"['Dec', '3', '2024']",Dec,3,2024,10-20 LPA,10-20 LPA,10-20 LPA
Cleartax,"Dec. 3, 2024, 3:46 a.m.",Software Engineer 1,0.0,"btech, idd","bce, bme, cer, che, chy, civ, cse, ece, eee, mat, mec, met, min, mst, phe, phy",1800000.0,1200000.0,1800000.0,1200000.0,Bangalore,INR,Software/Quant Developer,['software engineer 1'],"['bce', 'bme', 'cer', 'che', 'chy', 'civ', 'cse', 'ece', 'eee', 'mat', 'mec', 'met', 'min', 'mst', 'phe', 'phy']","['btech', 'idd']",['Bangalore'],"['Dec', '3', '2024']",Dec,3,2024,10-20 LPA,10-20 LPA,10-20 LPA
Cohesity,"Dec. 3, 2024, 3:46 a.m.",Member of Technical Staff,7.5,"btech, idd",cse,2862897.0,2100000.0,2862897.0,2100000.0,"Bangalore, Pune",INR,Software/Quant Developer,['member of technical staff'],['cse'],"['btech', 'idd']","['Bangalore', 'Pune']","['Dec', '3', '2024']",Dec,3,2024,20-30 LPA,20-30 LPA,20-30 LPA
